ingredientId,categoryId
109,1
111,12
112,3
112,5
114,8
1,1
2,3
2,4
3,1
4,3
4,4
4,5
5,3
5,4
5,5
6,7
7,7
8,1
9,3
10,3
11,8
12,3
12,4
13,10
13,9
14,8
15,10
15,9
16,11
17,8
18,3
19,7
20,7
21,11
22,12
23,13
24,7
25,8
26,1
27,3
28,3
29,13
30,14
31,12
32,8
34,8
35,1
36,1
37,3
38,4
38,10
39,1
40,1
41,3
42,8
43,15
44,15
45,13
46,3
47,1
48,3
48,5
49,7
50,16
51,7
52,8
53,7
54,15
55,8
56,1
57,1
58,11
59,1
60,3
61,3
62,3
62,4
63,3
64,3
65,17
66,17
67,8
68,3
69,8
70,13
71,13
72,12
73,3
74,13
75,10
75,9
76,3
77,1
78,1
79,18
82,8
83,8
84,13
85,3
86,13
87,3
88,3
89,3
90,8
91,16
92,16
93,1
94,7
95,7
96,8
97,3
97,5
98,1
99,7
100,8
101,8
102,12
103,12
104,8
105,8
107,8
106,8
108,8
110,8
113,8
